113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113002,,3,14,22,24,27,32,8,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113018,,5,10,14,21,30,38,5,0
113018,,4,14,19,20,24,32,2,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113018,,5,10,14,21,30,38,5,0
113018,,4,14,19,20,24,32,2,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113018,,5,10,14,21,30,38,5,0
113018,,4,14,19,20,24,32,2,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113018,,5,10,14,21,30,38,5,0
113018,,4,14,19,20,24,32,2,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
113010,,1,2,15,30,31,35,2,0
113011,,3,10,13,18,20,29,8,0
113012,,6,9,21,28,32,38,5,0
113012,,4,5,14,18,23,37,4,0
113012,,9,11,17,25,28,37,1,0
113011,,6,13,16,18,19,35,2,0
113011,,10,12,15,17,33,36,5,0
113013,,3,14,19,21,28,29,5,0
113013,,3,13,22,23,26,29,7,0
113014,,1,4,6,8,16,26,5,0
113014,,8,12,17,25,32,38,3,0
113015,,7,21,22,25,26,32,5,100
113015,,1,5,8,34,35,36,5,100
113016,,1,12,23,25,31,35,3,0
113016,,2,3,9,17,22,24,2,0
113017,,7,12,13,14,19,24,1,0
113017,,10,14,16,21,23,31,7,0
113018,,5,10,14,21,30,38,5,0
113018,,4,14,19,20,24,32,2,0
113002,,3,14,22,24,27,32,8,0
113002,,11,16,17,18,25,29,8,0
113003,,15,16,17,20,26,28,8,0
113003,,7,8,12,23,34,36,3,0
113004,,11,12,15,28,33,36,6,0
113004,,5,8,12,17,30,35,4,0
113008,,2,6,13,16,20,24,5,0
113008,,5,10,11,20,23,26,4,100
113007,,2,9,16,19,28,37,8,0
113007,,5,10,23,31,33,36,3,0
113009,,3,5,9,21,22,29,8,0
113009,,6,11,27,31,33,36,6,0
113010,,11,25,26,27,28,32,6,0
